CLUTCH,VOLUME
1,2.425995
1,2.4336
1,1.7018165
1,2.34741
1,2.231814
1,1.9671093
1,2.0307631
1,1.9814827
1,2.0500646
2,2.098113
2,2.442726
2,2.395575
2,2.519283
2,2.1395907
2,2.51979
2,2.502045
2,2.315469
2,2.365155
2,1.9354877
3,0.8094762
3,1.5873562
3,1.6269427
3,1.6019578
3,1.5688608
3,1.6522522
4,2.507115
4,2.0237818
4,2.45895
4,2.0295311
4,1.9137222
4,2.486835
4,2.0964704
4,2.1059158
4,1.9753227
4,1.8767619
5,0.656565
5,0.595725
5,0.5925563
5,1.6425178
5,0.5730368
5,0.9317646
5,1.1932093
6,2.484807
6,2.0738835
6,2.39304
6,2.282514
6,2.559843
6,2.54007
6,1.9679306
6,2.481765
6,2.359578
7,2.375295
7,2.41332
7,1.9322023
7,2.4336
7,2.0636168
7,2.41839
7,2.448303
7,2.363634
7,2.0020163
8,3.4569288
8,2.9906662
8,2.944656
8,3.6007546
8,2.9875989
8,3.9328497
8,2.64147
8,3.5540294
8,3.486132
8,4.2241719
8,4.4812209
9,2.0964704
9,2.1108438
9,2.0677235
9,1.9630026
9,1.9691626
9,2.0517073
9,1.974912
9,1.8899033
9,1.9823041
10,3.0244071
10,2.8931245
10,2.9906662
10,4.3484122
10,3.9199973
10,2.623725
10,2.9109152
10,2.673411
10,2.7176721
10,3.7533413
10,2.641977
11,1.637975
11,1.5951437
11,0.862407
11,1.5883296
11,1.573728
11,0.6571987
11,0.641355
12,2.662764
12,2.572011
12,2.8642914
12,3.46788
12,3.55914
12,3.180842
12,3.0029357
12,2.57049
12,2.59077
12,3.006003
12,2.572518
12,4.1727621
12,2.9661275
13,1.9092048
13,2.45895
13,2.1371267
13,2.52486
13,2.0866143
13,2.50458
13,2.436135
13,2.1338413
13,2.54007
13,1.8829219
14,1.5218112
14,1.5445248
14,1.1758192
14,0.8906976
14,1.2247599
14,1.5873562
14,1.2769302
14,1.6613376
15,1.4634048
15,1.5218112
15,1.5315456
15,1.6013088
15,1.4909856
15,1.5850848
15,0.8176896
15,1.5283008
16,1.9671093
16,1.976144
16,1.971216
16,1.9116689
16,2.47416
16,2.0467793
16,1.9186502
16,2.436135
16,2.368704
16,1.9116689
17,2.0816862
17,1.8549964
17,2.50458
17,2.425995
17,2.0266565
17,1.9938028
17,2.0656701
17,1.889082
17,1.9260423
17,1.9527358
18,1.2446343
18,0.9007362
18,1.5562061
18,1.5347904
18,1.1800425
18,1.2230209
18,1.598064
18,0.9144252
19,1.8993487
19,2.446275
19,1.9556105
19,2.0595101
19,2.45895
19,2.537535
19,1.9999629
19,1.9740907
19,1.977376
19,2.0467793
20,1.0764472
20,1.1837689
20,1.1514731
20,1.573728
20,1.5834624
20,0.8861346
21,3.0023222
21,3.4912426
21,3.9139994
21,2.8366853
21,3.5029238
21,2.9201172
21,3.1372856
21,3.056921
21,2.8722665
21,2.8557029
21,2.8661318
22,2.893738
22,2.606994
22,2.9139825
22,3.1133603
22,2.627274
22,3.540888
22,2.9667409
22,2.9722622
22,3.5292067
22,2.8495682
22,3.0722578
22,3.0213398
22,3.5007336
23,2.1675163
23,2.1211106
23,1.9486291
23,1.9178289
23,2.43867
23,1.8036626
23,2.441205
23,2.496468
23,2.49951
23,2.130556
24,1.683747
24,2.0184431
24,2.546154
24,2.425995
24,2.51472
24,2.456922
24,1.9839468
24,1.9798401
24,2.344875
24,2.385435
25,2.9323866
25,4.1770462
25,3.0182724
25,3.4532784
25,2.9661275
25,3.4452475
25,2.5857
25,3.4824816
25,3.06735
25,2.8679722
25,3.7102666
25,3.0458785
26,1.2302254
26,1.1698569
26,1.5964416
26,0.884857
26,1.1912218
26,0.8697078
26,1.6003354
26,1.1912218
27,1.1482435
27,1.4666496
27,1.1899797
27,1.5850848
27,1.1564417
27,1.1862532
27,1.4796288
28,3.4715304
28,3.1458742
28,2.9667409
28,3.486132
28,3.0336092
28,2.955085
28,2.63133
28,2.9477234
28,2.573025
28,3.1593705
28,2.8035579
28,3.0121377
29,2.90294
29,2.9599928
29,3.0090704
29,3.1642783
29,2.9201172
29,3.6467496
29,2.690649
29,3.7161072
29,3.4824816
29,3.0563075
29,3.1593705
30,1.6684762
30,1.0918498
30,0.6635363
30,1.2446343
30,1.6081229
30,0.8801114
30,1.5779462
30,1.2235177
31,1.6451136
31,1.5562061
31,1.5153216
31,0.885222
31,1.5042893
31,0.6039638
32,2.496975
32,1.9354877
32,2.0328165
32,1.9987309
32,2.375295
32,2.52993
32,2.45388
32,1.9170076
32,1.9404158
32,1.936309
33,0.871533
33,0.5819093
33,0.6295672
33,1.1778066
33,0.8983634
33,1.6110432
33,1.6224
34,2.0985237
34,1.9137222
34,2.483793
34,2.44881
34,2.0972917
34,2.535
34,2.0697768
34,1.9658773
34,2.0627954
34,2.05335
35,3.6796032
35,2.8863764
35,3.8073672
35,3.0182724
35,3.5262864
35,3.0428112
35,2.58063
35,2.9084613
35,2.562885
35,3.0274745
35,3.4153142
35,3.7891152
36,2.592291
36,3.086981
36,3.971407
36,3.4240752
36,4.3612647
36,3.3437664
36,2.593305
36,2.584686
36,2.593812
36,2.603952
36,3.9859732
36,2.577081
37,3.7957569
37,2.8550894
37,3.6890942
37,2.9219576
37,2.9783969
37,2.841593
37,2.581644
37,2.9882124
37,3.723408
37,3.9971119
37,3.3656688
38,1.1827752
38,1.6113677
38,1.5834624
38,1.5461472
38,1.2446343
38,1.5549082
39,3.0918888
39,3.5992944
39,3.6160862
39,3.9345634
39,4.2156036
39,3.0685769
39,2.9722622
39,3.6562406
39,2.632344
39,4.2156036
39,3.0379034
